log10(t),log10(S_E)
-3.52287874528034,-9.3642908928183
-3.22184874961636,-9.36199319150138
-3.04575749056068,-9.36067576765852
-2.92081875395238,-9.35733676709863
-2.82390874094432,-9.35531124819245
-2.74472749489669,-9.35303723011928
-2.67778070526608,-9.35122449282435
-2.61978875828839,-9.35019104852635
-2.56863623584101,-9.34992541341567
-2.52287874528034,-9.34845006265611
-2.48148606012211,-9.34788110980332
-2.44369749923271,-9.3459787810595
-2.4089353929735,-9.34552231056416
-2.3767507096021,-9.34510981778316
-2.34678748622466,-9.34426373925307
-2.31875876262441,-9.34325676347511
-2.29242982390206,-9.34299167386586
-2.26760624017703,-9.34267250261137
-2.24412514432751,-9.3417558493858
-2.22184874961636,-9.34078194020644
-2.20065945054642,-9.34072911380357
-2.18045606445813,-9.33995093500158
-2.16115090926274,-9.33961658909926
-2.14266750356873,-9.33883039316276
-2.1249387366083,-9.3386739645189
-2.10790539730952,-9.33849190554621
-2.09151498112135,-9.3374338573694
-2.07572071393812,-9.33643075859184
-2.06048074738138,-9.33583258436809
-2.04575749056068,-9.33285672455816
-2.03151705144606,-9.33262076902622
-2.02287874528034,-9.33147285368878
-1.72184874961636,-9.33061844774711
-1.54575749056068,-9.32999913620882
-1.42081875395238,-9.32999891789472
-1.32390874094432,-9.32998818369167
-1.24472749489669,-9.32989333317419
-1.17778070526608,-9.32553884692954
-1.11978875828839,-9.32245192065489
-1.06863623584101,-9.32066476077786
-0.922878745280337,-9.31039352916383
-0.621848749616356,-9.29751146367228
-0.445757490560675,-9.28328161412103
-0.320818753952375,-9.27711092554235
-0.223908740944319,-9.27306646552409
-0.144727494896694,-9.25615445501237
-0.0777807052660808,-9.23241507377378
-0.019788758288394,-9.23196160860275
0.0313637641589874,-9.23018896476234
0.0771212547196627,-9.23003663682899
0.118513939877888,-9.19328899404482
0.156302500767287,-9.19155895934234
0.191064607026499,-9.15568480781713
0.2232492903979,-9.14652921043526
0.253212513775344,-9.14639226240072
0.281241237375587,-9.14541977896379
0.307570176097936,-9.14383747267429
0.332393759822969,-9.13414878098236
0.355874855672492,-9.13348169208328
0.378151250383643,-9.13253312135074
0.399340549453582,-9.12767775212301
0.419543935541869,-9.11061424184264
0.438849090737255,-9.11028775560876
0.457332496431269,-9.11010171770491
0.4750612633917,-9.11002494111308
0.49209460269048,-9.10868643838676
0.50848501887865,-9.0997957870351
0.524279286061882,-9.09956558517314
0.539519252618619,-9.09800593098667
0.554242509439325,-9.09184784159528
0.568482948553935,-9.09036624051064
0.582271233039569,-9.08920724768029
0.59563519459755,-9.08876854836172
0.608600171761918,-9.08700695909427
0.621189299069938,-9.08672604356384
0.63342375548695,-9.08565976325625
0.645322978786658,-9.07808388476466
0.656904851336473,-9.06640998710962
0.668185861746162,-9.06469033350434
0.679181246047625,-9.06411085931818
0.689905111439398,-9.05756634572581
0.700370545117563,-9.05434286966177
0.710589710299249,-9.05241354301117
0.72057393120585,-9.0518852708125
0.730333768495006,-9.0504432447088
0.739879086401237,-9.05034478508357
0.74921911265538,-9.05006751943887
0.75836249209525,-9.04380867842771
0.767317334748176,-9.03526665735843
0.776091259055681,-9.03404482598903
0.784691430817599,-9.03369026589533
0.793124598354462,-9.03216702302262
0.801397124320451,-9.0318804486149
0.809515014542631,-9.02718126356443
0.817483944213906,-9.01484270219564
0.825309281725863,-9.04111713124885
0.832996110392154,-9.00991939772041
0.8405492482826,-9.02217212495887
0.847973266361807,-9.02491849221174
0.855272505103306,-9.01039190040776
0.862451089730429,-9.00842829428689
0.869512944217916,-9.01033085417422
0.876461804173244,-9.0052326696905
0.88330122870355,-9.00159301013354
0.890034611362518,-9.00693008482941
0.896665190261531,-8.99918152057212
0.903196057420489,-9.00762916098194
0.909630167425899,-8.99754020574146
0.915970345456918,-8.99359460244814
0.922219294733919,-9.0041949396069
0.928379603438738,-8.99910201085979
0.934453751150931,-8.99192942621092
0.940444114840119,-8.9771998226223
0.946352974450639,-8.976595413651
0.952182518111363,-8.9888175246383
0.957934847000454,-8.97541508629766
0.963611979892145,-8.97800503193738
0.969215857410143,-8.97341532000221
0.974748346010104,-8.96615958327582
0.980211241711606,-8.97988716414697
0.985606273598312,-8.96972233739197
0.990935107103379,-8.96729878553849
0.996199347095736,-8.97933082933457
1.00140054078154,-8.97185160099176
1.00654018043396,-8.97003665178018
1.01161970596323,-8.96257613613892
1.01664050733828,-8.96001641446491
1.02160392686983,-8.96909933694787
1.02651126136458,-8.96872744838416
1.03136376415899,-8.96474347509379
1.03616264704076,-8.95996402111674
1.04090908206522,-8.95589776862133
1.0456042032736,-8.95953038094157
1.05024910831936,-8.95948632676094
1.05484486000851,-8.95029915553234
1.05939248775923,-8.95325823488242
1.06389298898591,-8.94914571653149
1.06834733041216,-8.94961695830008
1.07275644931721,-8.94779292043107
1.07712125471966,-8.95245187577764
1.0814426285023,-8.93676863903987
1.08572142648158,-8.9397752975306
1.08995847942483,-8.94268095134491
1.09415459401844,-8.94790713987794
1.0983105537896,-8.93786979279119
1.10242711998443,-8.95837320095194
1.10650503240487,-8.93996783465765
1.11054501020661,-8.925341536449
1.11454775266029,-8.94527826955739
1.11851393987789,-8.94410464926544
1.12244423350632,-8.94158768299475
1.12633927738984,-8.93566751461932
1.13019969820308,-8.94098267070511
1.13402610605614,-8.92685877956589
1.13781909507327,-8.9261995488172
1.14157924394658,-8.9224271773297
1.14530711646582,-8.92774619012758
1.14900326202579,-8.94186074966529
1.15266821611219,-8.9353378595108
1.15630250076729,-8.9223378595108
1.3,-8.86
1.4,-8.82
